nozzleTemp,bedTemp,xPos,yPos,zPos,fanSpeed,printerSpeed,createdAt
234,146,17,75,26,94,38,2024-04-29T08:53:22.812Z
37,113,76,51,46,82,77,2024-04-29T08:53:24.926Z
92,198,53,18,17,35,17,2024-04-29T08:53:27.047Z
172,211,78,73,1,78,97,2024-04-29T08:53:29.173Z
249,213,33,49,69,21,99,2024-04-29T08:53:31.282Z
207,217,48,9,8,88,38,2024-04-29T08:53:33.388Z
189,176,23,99,55,22,40,2024-04-29T08:53:35.496Z
66,69,49,54,55,89,49,2024-04-29T08:53:37.585Z
229,127,52,16,74,18,60,2024-04-29T08:53:39.690Z
72,103,79,73,10,0,75,2024-04-29T08:53:41.793Z
231,195,8,7,3,61,73,2024-04-29T08:53:43.894Z
153,186,27,65,93,92,54,2024-04-29T08:53:46.340Z
223,127,88,4,70,24,74,2024-04-29T08:53:50.825Z
5,106,27,28,47,21,68,2024-04-29T08:53:52.966Z
61,82,27,45,52,31,8,2024-04-29T08:53:55.071Z
38,149,85,98,5,68,98,2024-04-29T08:53:57.182Z
220,219,27,29,12,6,87,2024-04-29T08:53:59.293Z
31,206,91,31,38,56,29,2024-04-29T08:54:01.399Z
40,119,3,48,60,8,81,2024-04-29T08:54:03.556Z
212,219,93,71,59,15,68,2024-04-29T08:54:05.674Z
241,182,27,88,20,19,78,2024-04-29T08:54:07.782Z
129,65,62,20,40,4,65,2024-04-29T08:54:09.889Z
118,225,17,7,33,2,83,2024-04-29T08:54:12.047Z
22,71,88,35,13,27,91,2024-04-29T08:54:14.155Z
4,62,66,97,84,94,79,2024-04-29T08:54:16.271Z
70,238,92,91,63,100,88,2024-04-29T08:54:18.382Z
161,67,62,76,94,35,9,2024-04-29T08:54:20.499Z
152,157,31,96,8,78,39,2024-04-29T08:54:22.599Z
244,73,42,1,11,65,5,2024-04-29T08:54:24.937Z
240,152,2,24,96,85,17,2024-04-29T08:54:27.050Z
157,129,62,57,7,56,66,2024-04-29T08:54:29.173Z
69,242,9,54,94,63,87,2024-04-29T08:54:31.274Z
39,194,56,58,30,75,35,2024-04-29T08:54:33.375Z
30,152,72,30,84,91,96,2024-04-29T08:54:35.487Z
224,240,91,51,50,48,66,2024-04-29T08:54:37.587Z
234,130,84,89,46,22,42,2024-04-29T08:54:39.685Z
209,134,65,80,10,59,94,2024-04-29T08:54:41.791Z
114,169,42,0,31,57,46,2024-04-29T08:54:43.895Z
122,205,17,12,89,87,2,2024-04-29T08:54:45.996Z
130,116,17,55,16,71,84,2024-04-29T08:54:48.121Z
220,175,83,6,32,38,3,2024-04-29T08:54:50.253Z
190,242,32,16,9,42,15,2024-04-29T08:54:52.364Z
217,234,35,65,41,27,73,2024-04-29T08:54:54.474Z
4,95,34,32,59,40,75,2024-04-29T08:54:56.584Z
228,73,97,82,17,52,3,2024-04-29T08:54:58.691Z
128,241,37,92,7,39,49,2024-04-29T08:55:00.796Z
199,231,98,31,61,47,19,2024-04-29T08:55:02.895Z
243,131,29,90,62,62,16,2024-04-29T08:55:04.999Z
221,113,19,10,84,77,4,2024-04-29T08:55:07.108Z
196,137,84,19,43,62,61,2024-04-29T08:55:09.219Z
100,223,59,61,74,77,9,2024-04-29T08:55:11.329Z
234,95,97,94,26,3,58,2024-04-29T08:55:13.437Z
212,117,30,78,52,17,59,2024-04-29T08:55:15.551Z
234,63,85,5,24,96,45,2024-04-29T08:55:17.665Z
237,216,56,73,67,86,96,2024-04-29T08:55:19.769Z
16,217,21,42,6,20,22,2024-04-29T08:55:21.875Z
198,209,91,22,100,53,53,2024-04-29T08:55:23.990Z
80,250,97,16,63,20,10,2024-04-29T08:55:26.099Z
242,166,61,79,91,1,90,2024-04-29T08:55:28.205Z
86,206,65,67,25,10,60,2024-04-29T08:55:30.305Z
125,66,75,55,94,50,95,2024-04-29T08:55:32.416Z
147,132,93,0,62,56,75,2024-04-29T08:55:34.521Z
86,133,64,44,7,61,100,2024-04-29T08:55:36.630Z
78,196,69,96,95,25,51,2024-04-29T08:55:38.729Z
108,67,17,74,97,23,74,2024-04-29T08:55:40.828Z
133,59,38,37,23,89,18,2024-04-29T08:55:42.942Z
88,89,3,35,86,93,29,2024-04-29T08:55:45.049Z
185,122,27,18,81,30,39,2024-04-29T08:55:47.162Z
33,153,64,33,81,3,3,2024-04-29T08:55:49.264Z
202,140,98,93,20,2,58,2024-04-29T08:55:51.378Z
10,178,33,63,96,12,0,2024-04-29T08:55:53.492Z
94,59,95,90,90,94,0,2024-04-29T08:55:55.619Z
68,176,95,97,26,73,58,2024-04-29T08:55:57.727Z
161,247,71,66,1,12,78,2024-04-29T08:55:59.843Z
125,243,58,38,20,34,85,2024-04-29T08:56:01.955Z
242,135,3,58,77,12,59,2024-04-29T08:56:04.074Z
4,230,40,19,65,18,7,2024-04-29T08:56:06.190Z
59,91,37,43,77,94,66,2024-04-29T08:56:08.295Z
117,224,68,71,41,76,21,2024-04-29T08:56:10.389Z
28,94,59,91,38,10,8,2024-04-29T08:56:12.499Z
211,177,96,88,83,33,36,2024-04-29T08:56:14.604Z
173,83,21,75,35,4,98,2024-04-29T08:56:16.730Z
184,110,97,40,8,7,81,2024-04-29T08:56:19.075Z
90,222,13,50,83,71,34,2024-04-29T08:56:21.184Z
83,106,80,7,6,21,54,2024-04-29T08:56:23.286Z
107,66,57,7,5,65,28,2024-04-29T08:56:25.388Z
66,106,100,67,38,97,39,2024-04-29T08:56:27.489Z
193,213,32,84,94,65,15,2024-04-29T08:56:29.610Z
100,86,81,66,15,47,53,2024-04-29T08:56:31.704Z
68,203,86,81,29,92,49,2024-04-29T08:56:33.796Z
212,239,0,69,10,25,4,2024-04-29T08:56:35.893Z
169,175,7,33,18,5,5,2024-04-29T08:56:37.996Z
21,104,7,76,95,71,68,2024-04-29T08:56:40.114Z
31,132,67,92,1,3,60,2024-04-29T11:24:21.585Z
92,134,77,23,55,71,33,2024-04-29T11:24:23.719Z
183,244,12,25,69,7,31,2024-04-29T11:24:25.822Z
21,112,7,88,74,84,73,2024-04-29T11:24:27.938Z
202,239,15,85,86,21,22,2024-04-29T11:24:30.051Z
106,175,2,59,27,90,59,2024-04-29T11:24:32.153Z
34,176,27,35,67,98,68,2024-04-29T11:24:34.256Z
152,220,69,58,82,19,87,2024-04-29T11:24:36.376Z
132,198,13,100,49,84,39,2024-04-29T11:24:38.493Z
109,88,49,97,41,69,32,2024-04-29T11:24:40.596Z
21,211,26,67,14,73,85,2024-04-29T11:24:42.706Z
97,92,51,50,44,15,22,2024-04-29T11:24:44.818Z
2,61,34,78,61,86,29,2024-04-29T11:24:46.929Z
223,69,69,34,89,34,86,2024-04-29T11:24:49.048Z
38,68,95,40,79,24,77,2024-04-29T11:24:51.155Z
216,83,70,71,14,53,10,2024-04-29T11:24:53.266Z
192,77,43,35,44,6,66,2024-04-29T11:24:55.374Z
166,229,1,65,78,60,43,2024-04-29T11:24:57.477Z
240,208,25,57,13,4,25,2024-04-29T11:24:59.579Z
158,173,88,25,5,28,52,2024-04-29T11:25:01.757Z
78,170,1,19,29,91,96,2024-04-29T11:25:03.872Z
189,234,46,48,94,0,51,2024-04-29T11:25:06.013Z
147,135,72,42,41,55,92,2024-04-29T11:25:08.805Z
131,224,10,43,39,59,35,2024-04-29T11:25:10.916Z
68,250,64,33,6,35,82,2024-04-29T11:25:13.016Z
144,73,78,69,0,20,79,2024-04-29T11:25:15.123Z
233,159,61,42,25,67,76,2024-04-29T11:25:17.219Z
130,218,54,98,3,3,99,2024-04-29T11:25:19.321Z
108,148,28,60,0,85,85,2024-04-29T11:25:21.424Z
77,126,51,77,47,93,26,2024-04-29T11:25:23.541Z
98,169,91,29,67,76,96,2024-04-29T11:25:25.654Z
159,162,4,15,58,27,69,2024-04-29T11:25:27.759Z
73,223,57,49,96,79,79,2024-04-29T11:25:29.878Z
15,69,69,63,46,98,93,2024-04-29T11:25:31.988Z
202,89,23,7,11,54,25,2024-04-29T11:25:34.081Z
49,204,17,93,42,29,75,2024-04-29T11:25:36.186Z
14,117,5,97,11,30,6,2024-04-29T11:25:38.721Z
249,218,89,94,53,72,64,2024-04-29T11:25:40.846Z
238,190,41,14,61,17,61,2024-04-29T11:25:42.950Z
14,242,99,70,62,44,82,2024-04-29T11:25:45.051Z
59,117,11,92,87,51,93,2024-04-29T11:25:47.151Z
20,221,35,53,56,67,42,2024-04-29T11:25:49.244Z
26,214,32,22,32,19,87,2024-04-29T11:25:51.366Z
42,93,99,79,81,49,69,2024-04-29T11:25:53.462Z
86,196,93,98,72,22,38,2024-04-29T11:25:55.557Z
179,117,60,18,64,9,48,2024-04-29T11:25:57.669Z
69,180,86,62,61,96,74,2024-04-29T11:25:59.778Z
56,250,31,61,83,39,42,2024-04-29T11:26:01.896Z
143,95,58,14,75,98,24,2024-04-29T11:26:03.992Z
211,111,15,5,65,42,8,2024-04-29T11:26:06.120Z
211,220,5,34,30,43,52,2024-04-29T11:26:08.237Z
12,106,1,91,46,17,43,2024-04-29T11:26:10.344Z
176,249,30,10,4,83,72,2024-04-29T11:26:12.430Z
174,211,70,33,76,75,95,2024-04-29T11:26:14.526Z
215,138,39,19,65,25,34,2024-04-29T11:26:16.650Z
103,194,10,99,60,51,45,2024-04-29T11:26:18.757Z
70,184,48,49,75,42,99,2024-04-29T11:26:20.854Z
72,160,5,31,37,76,80,2024-04-29T11:26:22.958Z
41,96,18,26,94,47,20,2024-04-29T11:26:25.085Z
29,67,87,34,88,71,27,2024-04-29T11:26:27.190Z
27,215,83,59,98,3,78,2024-04-29T11:26:29.304Z
166,164,42,92,50,73,11,2024-04-29T11:26:31.412Z
223,250,15,32,19,66,73,2024-04-29T11:26:33.511Z
177,138,94,76,41,6,21,2024-04-29T11:26:35.611Z
30,174,71,79,100,92,38,2024-04-29T11:26:37.725Z
182,178,35,86,9,0,68,2024-04-29T11:26:39.842Z
43,62,65,17,73,15,100,2024-04-29T11:26:41.951Z
203,99,25,97,46,51,89,2024-04-29T11:26:44.058Z
93,127,33,33,17,54,67,2024-04-29T11:26:46.158Z
151,199,28,38,78,58,13,2024-04-29T11:26:48.255Z
126,131,18,44,51,98,22,2024-04-29T11:26:50.364Z
117,185,24,51,3,55,95,2024-04-29T11:26:52.455Z
103,176,32,38,92,25,99,2024-04-29T11:26:54.552Z
187,91,98,5,12,14,74,2024-04-29T11:26:56.633Z
11,75,73,29,95,5,18,2024-04-29T11:26:58.729Z
193,92,79,14,75,67,54,2024-04-29T11:27:00.816Z
127,125,20,14,27,100,12,2024-04-29T11:27:02.933Z
62,141,76,4,63,74,72,2024-04-29T11:27:05.037Z
213,87,76,23,37,32,78,2024-04-29T11:27:07.134Z
208,168,64,96,3,8,8,2024-04-29T11:27:09.254Z
127,155,28,84,49,15,13,2024-04-29T11:27:11.356Z
55,125,61,22,65,46,91,2024-04-29T11:27:13.453Z
62,148,81,51,39,37,34,2024-04-29T11:27:15.559Z
179,228,91,5,20,89,76,2024-04-29T11:27:17.663Z
52,54,64,33,25,95,100,2024-04-29T11:27:19.762Z
142,172,2,59,19,93,100,2024-04-29T11:27:21.881Z
22,110,2,56,14,53,21,2024-04-29T11:27:23.985Z
238,123,38,87,86,31,45,2024-04-29T11:27:26.085Z
33,185,95,62,57,83,53,2024-04-29T11:27:28.475Z
154,235,64,75,96,0,84,2024-04-29T11:27:30.711Z
113,194,78,52,27,50,23,2024-04-29T11:27:32.819Z
173,96,18,6,14,77,71,2024-04-29T11:27:34.932Z
70,111,43,90,20,0,56,2024-04-29T11:27:37.037Z
4,228,77,75,76,24,70,2024-04-29T11:27:39.143Z
155,94,56,55,46,54,10,2024-04-29T11:27:41.253Z
238,200,98,38,16,65,45,2024-04-29T11:27:43.342Z
166,132,50,21,57,13,44,2024-04-29T11:27:45.442Z
179,137,39,68,2,56,9,2024-04-29T11:27:47.545Z
133,136,85,22,75,96,61,2024-04-29T11:27:49.646Z
215,152,72,28,62,48,34,2024-04-29T11:27:51.751Z
87,133,67,60,42,99,78,2024-04-29T11:27:53.857Z
52,88,58,53,0,87,12,2024-04-29T11:27:55.955Z
196,65,2,54,78,54,80,2024-04-29T11:27:58.053Z
242,134,33,42,6,38,2,2024-04-29T11:28:00.191Z
11,134,24,43,65,16,38,2024-04-29T11:28:02.303Z
19,237,61,30,31,87,73,2024-04-29T11:59:45.197Z
74,173,19,31,98,5,54,2024-04-29T11:59:47.314Z
140,129,9,95,22,87,67,2024-04-29T11:59:49.417Z
183,178,17,12,8,0,92,2024-04-29T11:59:51.517Z
214,70,87,23,50,7,92,2024-04-29T11:59:53.610Z
189,148,89,29,45,36,10,2024-04-29T11:59:55.700Z
241,126,70,74,61,35,70,2024-04-29T11:59:57.799Z
19,73,54,55,98,2,2,2024-04-29T11:59:59.911Z
13,212,13,79,17,76,77,2024-04-29T12:00:02.026Z
89,176,96,45,99,53,26,2024-04-29T12:00:04.128Z
121,142,67,80,30,22,57,2024-04-29T12:00:06.227Z
20,79,60,35,83,9,14,2024-04-29T12:00:08.368Z
50,144,65,90,70,82,46,2024-04-29T12:00:10.475Z
16,184,30,55,66,99,59,2024-04-29T12:00:12.581Z
241,190,33,73,32,40,9,2024-04-29T12:00:14.694Z
30,156,39,79,58,49,48,2024-04-29T12:00:16.797Z
49,88,1,10,95,68,44,2024-04-29T12:00:18.899Z
162,84,85,41,38,14,16,2024-04-29T12:00:21.009Z
210,134,27,58,78,71,34,2024-04-29T12:00:23.111Z
181,90,31,70,97,24,18,2024-04-29T12:00:25.216Z
187,92,41,87,35,47,18,2024-04-29T12:00:27.315Z
177,121,48,12,34,18,65,2024-04-29T12:00:29.415Z
50,73,45,39,39,42,22,2024-04-29T12:00:31.519Z
159,86,55,75,12,24,92,2024-04-29T12:00:33.630Z
226,156,61,67,86,7,20,2024-04-29T12:00:35.735Z
239,184,50,11,2,74,36,2024-04-29T12:00:37.830Z
228,148,84,61,83,0,45,2024-04-29T12:00:39.950Z
195,53,45,25,56,82,73,2024-04-29T12:00:42.048Z
50,104,3,76,91,47,81,2024-04-29T12:00:44.137Z
223,92,34,40,38,50,71,2024-04-29T12:00:46.229Z
128,147,20,5,44,44,95,2024-04-29T12:00:48.334Z
90,186,20,43,91,47,68,2024-04-29T12:00:50.431Z
111,53,3,30,14,58,47,2024-04-29T12:00:52.536Z
38,191,80,51,100,24,73,2024-04-29T12:00:54.634Z
250,173,64,69,11,36,73,2024-04-29T12:00:56.736Z
147,87,64,28,41,42,58,2024-04-29T12:00:58.832Z
45,72,55,7,27,57,86,2024-04-29T12:01:01.009Z
212,68,35,8,5,97,33,2024-04-29T12:01:03.107Z
194,227,13,83,45,90,29,2024-04-29T12:01:05.213Z
199,71,79,70,50,3,3,2024-04-29T12:01:07.333Z
2,222,75,90,73,93,50,2024-04-29T12:01:09.434Z
58,128,0,26,26,95,61,2024-04-29T12:01:11.544Z
109,62,39,26,90,36,59,2024-04-29T12:01:13.659Z
35,183,15,8,11,39,32,2024-04-29T12:01:15.766Z
91,202,15,76,74,23,23,2024-04-29T12:01:17.868Z
150,239,79,84,81,73,73,2024-04-29T12:01:19.961Z
160,64,97,9,52,19,72,2024-04-29T12:01:22.052Z
148,187,12,17,99,62,56,2024-04-29T12:01:24.156Z
172,183,92,60,30,65,25,2024-04-29T12:01:26.256Z
189,127,59,62,62,61,72,2024-04-29T12:01:28.351Z
128,202,33,22,92,21,66,2024-04-29T12:01:30.452Z
129,142,71,72,98,44,11,2024-04-29T12:01:32.559Z
153,217,72,74,66,0,16,2024-04-29T12:01:34.669Z
40,200,18,8,14,92,94,2024-04-29T12:01:36.771Z
239,132,79,44,74,15,73,2024-04-29T12:01:38.876Z
169,107,91,82,73,99,51,2024-04-29T12:01:40.986Z
41,211,92,43,100,25,36,2024-04-29T12:01:43.100Z
157,148,18,60,48,32,41,2024-04-29T12:01:45.203Z
65,138,13,94,55,17,53,2024-04-29T12:01:47.305Z
50,223,52,28,96,75,42,2024-04-29T12:01:49.425Z
25,125,13,99,1,78,77,2024-04-29T12:01:51.525Z
223,161,76,62,1,7,30,2024-04-29T12:01:53.636Z
168,82,12,86,24,57,48,2024-04-29T12:01:55.734Z
123,78,25,43,16,37,36,2024-04-29T12:01:57.841Z
227,223,9,6,94,50,67,2024-04-29T12:01:59.947Z
82,184,50,2,71,33,81,2024-04-29T12:02:02.053Z
129,179,65,10,59,7,68,2024-04-29T12:02:04.162Z
195,112,62,83,92,86,49,2024-04-30T04:16:20.781Z
61,93,48,44,87,47,27,2024-04-30T04:16:22.927Z
10,150,30,19,34,60,10,2024-04-30T04:16:25.099Z
77,249,8,53,41,29,61,2024-04-30T04:16:27.212Z
85,81,28,87,61,14,96,2024-04-30T04:16:29.372Z
235,241,92,6,64,83,31,2024-04-30T04:16:31.554Z
218,152,21,71,100,35,32,2024-04-30T04:16:34.159Z
136,168,32,100,66,45,35,2024-04-30T04:16:36.328Z
158,172,49,7,15,16,95,2024-04-30T04:16:38.507Z
105,202,30,56,57,21,65,2024-04-30T04:16:41.543Z
76,157,57,75,79,11,15,2024-04-30T04:16:43.731Z
36,245,38,79,80,40,70,2024-04-30T04:16:45.910Z
0,105,39,89,12,13,47,2024-04-30T04:16:48.093Z
163,105,1,3,85,21,77,2024-04-30T04:16:50.287Z
150,105,15,42,23,69,81,2024-04-30T04:16:52.413Z
220,166,74,88,55,36,99,2024-04-30T04:16:54.561Z
225,222,77,74,92,61,81,2024-04-30T04:16:56.674Z
40,154,33,70,88,53,24,2024-04-30T04:16:58.859Z
124,63,59,48,31,60,57,2024-04-30T04:17:00.991Z
200,163,70,97,26,15,77,2024-04-30T04:17:03.127Z
107,231,55,63,40,29,38,2024-04-30T04:17:05.252Z
54,190,88,89,0,86,87,2024-04-30T04:17:07.661Z
60,94,18,25,58,43,73,2024-04-30T04:17:09.806Z
236,64,43,58,79,90,8,2024-04-30T04:17:13.500Z
133,154,40,31,91,62,4,2024-04-30T04:17:15.768Z
82,174,37,53,69,70,34,2024-04-30T04:17:17.931Z
79,84,38,77,63,60,40,2024-04-30T04:17:20.069Z
207,217,87,68,50,70,81,2024-04-30T04:17:22.201Z
140,200,28,56,20,59,50,2024-04-30T04:17:24.323Z
125,69,40,28,48,65,32,2024-04-30T04:17:26.558Z
12,92,28,76,42,11,9,2024-04-30T04:17:28.976Z
182,60,68,9,45,35,28,2024-04-30T04:17:31.180Z
51,113,34,68,12,91,14,2024-04-30T04:17:33.343Z
133,203,56,63,69,66,5,2024-04-30T04:17:35.756Z
38,180,38,75,31,42,0,2024-04-30T04:17:37.985Z
94,179,13,41,71,85,100,2024-04-30T04:17:40.108Z
96,228,51,64,22,22,36,2024-04-30T04:17:42.245Z
144,116,44,29,77,45,39,2024-04-30T04:17:44.361Z
84,93,68,8,87,26,62,2024-04-30T04:17:46.475Z
218,103,59,50,83,26,5,2024-04-30T04:17:48.578Z
11,127,65,16,89,67,73,2024-04-30T04:17:50.706Z
193,136,49,21,13,71,9,2024-04-30T04:17:52.958Z
17,191,46,3,22,45,23,2024-04-30T04:17:55.544Z
124,176,42,12,55,68,17,2024-04-30T04:17:57.656Z
181,74,13,90,86,88,95,2024-04-30T04:17:59.783Z
191,176,40,23,93,93,28,2024-04-30T04:18:01.917Z
18,104,46,32,31,55,90,2024-04-30T04:18:04.036Z
27,175,51,44,48,18,5,2024-04-30T04:18:06.295Z
3,89,51,30,74,88,74,2024-04-30T04:18:08.657Z
83,189,67,53,38,81,13,2024-04-30T04:18:10.804Z
212,93,49,86,61,94,32,2024-04-30T04:18:12.929Z
64,181,44,53,67,2,73,2024-04-30T04:18:15.052Z
8,95,56,22,90,19,8,2024-04-30T04:18:17.171Z
123,237,54,83,43,34,60,2024-04-30T04:18:19.280Z
137,95,35,99,42,87,69,2024-04-30T04:18:21.443Z
234,226,36,99,88,58,26,2024-04-30T04:18:23.592Z
180,223,24,54,9,21,66,2024-04-30T04:18:25.793Z
0,106,36,25,35,75,29,2024-04-30T04:18:28.017Z
20,85,75,88,83,55,9,2024-04-30T04:18:30.153Z
213,91,77,15,44,9,81,2024-04-30T04:18:32.309Z
168,100,50,97,86,78,72,2024-04-30T04:18:34.429Z
118,221,34,0,51,79,81,2024-04-30T04:18:36.557Z
100,186,85,3,81,4,77,2024-04-30T04:18:38.681Z
58,58,17,93,85,9,61,2024-04-30T04:18:40.793Z
237,150,37,21,76,18,15,2024-04-30T04:18:42.896Z
191,177,44,55,80,26,97,2024-04-30T04:18:44.996Z
59,195,55,63,97,7,6,2024-04-30T04:18:47.131Z
243,193,17,22,60,82,55,2024-04-30T04:18:49.250Z
245,212,29,75,64,18,31,2024-04-30T04:18:51.389Z
4,151,87,60,10,5,11,2024-04-30T04:18:53.644Z
162,208,51,44,78,58,36,2024-04-30T04:18:55.754Z
88,231,7,0,37,67,54,2024-04-30T04:18:57.903Z
192,134,96,33,63,77,8,2024-04-30T04:19:00.071Z
196,65,43,16,44,20,84,2024-04-30T04:19:02.187Z
230,125,58,11,62,62,40,2024-04-30T04:19:04.381Z
